t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,open_norm,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought
2023-11-15T00:00:00Z,b,SE,35.87,out,no_action,0.0,no_stop_loss_out_signal,,,,-0.7897769487538402,,0.0,-0.0,,,,
2023-11-15T00:02:00Z,b,SE,35.86,,,,,,,,-0.796545777834801,-0.00999999999999801,0.0,0.00999999999999801,,,,
2023-11-15T00:03:00Z,b,SE,35.84,,,,,,,,-0.8100834359967226,-0.01999999999999602,0.0,0.01999999999999602,,,,
2023-11-15T00:04:00Z,b,SE,35.85,,,,,,,,-0.8033146069157618,0.00999999999999801,0.00999999999999801,-0.0,,,,
2023-11-15T00:05:00Z,b,SE,35.86,,,,,,,,-0.796545777834801,0.00999999999999801,0.00999999999999801,-0.0,,,,
2023-11-15T00:06:00Z,b,SE,35.86,,,,,,,,-0.796545777834801,0.0,0.0,-0.0,,,,
2023-11-15T00:07:00Z,b,SE,35.86,,,,,,,,-0.796545777834801,0.0,0.0,-0.0,,,,
2023-11-15T00:08:00Z,b,SE,35.86,,,,,,,,-0.796545777834801,0.0,0.0,-0.0,,,,
2023-11-15T00:09:00Z,b,SE,35.86,,,,,,,,-0.796545777834801,0.0,0.0,-0.0,,,,
2023-11-15T00:10:00Z,b,SE,35.85,,,,,,0.00027075316323843523,,-0.8033146069157618,-0.00999999999999801,0.0,0.00999999999999801,,,,
2023-11-15T00:11:00Z,b,SE,35.87,,,,,,0.0008122594897153279,,-0.7897769487538402,0.01999999999999602,0.01999999999999602,-0.0,,,,
2023-11-15T00:12:00Z,b,SE,35.84,out,,,,36.36363636363636,0.00027075316323843523,,-0.8100834359967226,-0.02999999999999403,0.0,0.02999999999999403,0.00333333333333267,0.005833333333332173,,
2023-11-15T00:13:00Z,b,SE,35.83,out,no_action,26000.0,,33.33333333333135,-0.0010830126529539185,,-0.8168522650776883,-0.010000000000005116,0.0,0.010000000000005116,0.00333333333333267,0.0066666666666659324,,
2023-11-15T00:15:00Z,b,SE,35.84,out,no_action,26000.0,,41.66666666666765,-0.0018952721426692242,,-0.8100834359967226,0.010000000000005116,0.010000000000005116,-0.0,0.00416666666666643,0.005833333333332765,,
2023-11-15T00:17:00Z,b,SE,35.84,out,no_action,26000.0,,50.0,-0.0018952721426692466,,-0.8100834359967226,0.0,0.0,-0.0,0.00416666666666643,0.00416666666666643,,
2023-11-15T00:18:00Z,b,SE,35.83,out,no_action,26000.0,,39.99999999999858,-0.003249037958861578,,-0.8168522650776883,-0.010000000000005116,0.0,0.010000000000005116,0.0033333333333332624,0.005000000000000189,,
2023-11-15T00:22:00Z,b,SE,35.87,out,no_action,26000.0,,53.846153846153,-0.0018952721426694018,,-0.7897769487538402,0.03999999999999915,0.03999999999999915,-0.0,0.005833333333333357,0.005000000000000189,,
2023-11-15T00:23:00Z,b,SE,35.82,out,no_action,26000.0,,38.888888888889106,-0.001353765816192376,,-0.8236210941586491,-0.04999999999999716,0.0,0.04999999999999716,0.005833333333333357,0.00916666666666662,,
2023-11-15T00:24:00Z,b,SE,35.82,out,no_action,26000.0,,38.888888888889106,-0.0013537658161925537,,-0.8236210941586491,0.0,0.0,-0.0,0.005833333333333357,0.00916666666666662,,
2023-11-15T00:25:00Z,b,SE,35.82,out,no_action,26000.0,,38.888888888889106,-0.0016245189794311886,,-0.8236210941586491,0.0,0.0,-0.0,0.005833333333333357,0.00916666666666662,,
2023-11-15T00:26:00Z,b,SE,35.85,out,no_action,26000.0,,47.6190476190481,-2.220446049250313e-16,,-0.8033146069157618,0.030000000000001137,0.030000000000001137,-0.0,0.008333333333333451,0.00916666666666662,,
2023-11-15T00:28:00Z,b,SE,35.86,out,no_action,26000.0,,52.380952380951896,-0.001083012652953963,,-0.796545777834801,0.00999999999999801,0.00999999999999801,-0.0,0.00916666666666662,0.008333333333333451,,
2023-11-15T00:29:00Z,b,SE,35.85,out,no_action,26000.0,,45.000000000001066,0.0,,-0.8033146069157618,-0.00999999999999801,0.0,0.00999999999999801,0.007500000000000284,0.00916666666666662,,
2023-11-15T00:30:00Z,b,SE,35.82,out,no_action,26000.0,,44.99999999999947,0.0005415063264770481,-0.0010811324226536745,-0.8236210941586491,-0.030000000000001137,0.0,0.030000000000001137,0.007500000000000284,0.009166666666667211,,
2023-11-15T00:31:00Z,b,SE,35.85,out,no_action,26000.0,,54.54545454545514,0.0018952721426696462,-0.0007990978776135638,-0.8033146069157618,0.030000000000001137,0.030000000000001137,-0.0,0.010000000000000378,0.008333333333333451,,
2023-11-15T00:32:00Z,b,SE,35.85,out,no_action,26000.0,,52.380952380951896,0.0013537658161925537,-0.0006580806050935547,-0.8033146069157618,0.0,0.0,-0.0,0.00916666666666662,0.008333333333333451,,
2023-11-15T00:35:00Z,b,SE,35.82,out,no_action,26000.0,,45.83333333333272,0.0005415063264770925,-0.0007520921201069249,-0.8236210941586491,-0.030000000000001137,0.0,0.030000000000001137,0.00916666666666662,0.010833333333333547,,
2023-11-15T00:38:00Z,b,SE,35.85,out,no_action,26000.0,,53.84615384615448,-0.00027075316323845746,-0.0005640690900801567,-0.8033146069157618,0.030000000000001137,0.030000000000001137,-0.0,0.011666666666666714,0.009999999999999787,,
2023-11-15T00:39:00Z,b,SE,35.85,out,no_action,26000.0,,45.454545454546334,0.0005415063264770925,-0.0007050863626001843,-0.8033146069157618,0.0,0.0,-0.0,0.008333333333333451,0.009999999999999787,,
2023-11-15T00:40:00Z,b,SE,35.85,out,no_action,26000.0,,58.82352941176495,-0.00027075316323845746,-0.0003760460600534162,-0.8033146069157618,0.0,0.0,-0.0,0.008333333333333451,0.005833333333333357,,
2023-11-15T00:41:00Z,b,SE,35.85,out,no_action,26000.0,,58.82352941176495,-0.00027075316323845746,-4.700575750663886e-05,-0.8033146069157618,0.0,0.0,-0.0,0.008333333333333451,0.005833333333333357,,
2023-11-15T00:42:00Z,b,SE,35.82,out,no_action,26000.0,,50.0,0.0008122594897154612,0.00014101727252008311,-0.8236210941586491,-0.030000000000001137,0.0,0.030000000000001137,0.008333333333333451,0.008333333333333451,,
2023-11-15T00:43:00Z,b,SE,35.8199,out,no_action,26000.0,,41.15226337448455,-2.7075316324509657e-06,4.653569993161762e-05,-0.823688782449461,-0.00010000000000331966,0.0,0.00010000000000331966,0.005833333333333357,0.008341666666667061,,
2023-11-15T00:44:00Z,b,SE,35.82,out,no_action,26000.0,,37.51560549313465,-0.0016272265110635065,-0.00018849308760178948,-0.8236210941586491,0.00010000000000331966,0.00010000000000331966,-0.0,0.005008333333333799,0.008341666666667061,,
2023-11-15T00:45:00Z,b,SE,35.82,out,no_action,26000.0,,40.013315579228134,-0.002439486000778923,-0.0002354988451084746,-0.8236210941586491,0.0,0.0,-0.0,0.005008333333333799,0.007508333333333894,,
2023-11-15T00:46:00Z,b,SE,35.82,out,no_action,26000.0,,50.0,-0.003251745490494429,-0.0001414873300951136,-0.8236210941586491,0.0,0.0,-0.0,0.005008333333333799,0.005008333333333799,,
