t,T,S,o,h,l,c,v,n,vw,position,trading_action,current_capital,stop_loss_out_signal,open_small_indicator,open_big_indicator
2023-11-15T20:37:00Z,b,TSLA,243.96,244.22,243.96,244.22,971,18,244.123378,out,no_action,0.0,no_stop_loss_out_signal,,
2023-11-15T20:38:00Z,b,TSLA,244.0,244.0,243.83,243.85,989,13,243.919606,,,,,,
2023-11-15T20:39:00Z,b,TSLA,243.885,243.885,243.71,243.77,3266,35,243.751001,,,,,,
2023-11-15T20:40:00Z,b,TSLA,243.855,243.99,243.855,243.96,927,23,243.913927,,,,,,
2023-11-15T20:41:00Z,b,TSLA,244.0,244.0,243.91,243.92,761,19,243.917615,,,,,,
2023-11-15T20:42:00Z,b,TSLA,243.98,244.1,243.98,244.1,398,7,244.058141,,,,,0.004000000000019099,
2023-11-15T20:43:00Z,b,TSLA,244.13,244.13,243.98,244.12,470,8,244.069723,,,,,0.025999999999953616,
2023-11-15T20:44:00Z,b,TSLA,244.08,244.08,243.955,243.955,468,8,243.984284,,,,,0.03900000000004411,
2023-11-15T20:45:00Z,b,TSLA,243.81,243.88,243.81,243.88,573,15,243.861763,,,,,-0.009000000000014552,
2023-11-15T20:46:00Z,b,TSLA,244.06,244.065,244.04,244.055,771,18,244.056128,,,,,0.012000000000000455,
2023-11-15T20:47:00Z,b,TSLA,243.88,244.0,243.88,244.0,761,22,243.955848,,,,,-0.01999999999998181,
2023-11-15T20:48:00Z,b,TSLA,244.195,244.195,243.87,243.99,1149,28,244.00876,out,,,,0.01300000000000523,
2023-11-15T20:49:00Z,b,TSLA,243.94,243.94,243.39,243.39,1311,22,243.655858,out,no_action,27675.69,,-0.02800000000002001,-0.0016666666666651508
2023-11-15T20:50:00Z,b,TSLA,243.45,243.5,243.43,243.43,1501,28,243.439104,out,no_action,27675.69,,-0.0719999999999743,-0.04583333333334849
2023-11-15T20:51:00Z,b,TSLA,243.385,243.39,243.125,243.125,1244,27,243.327355,out,no_action,27675.69,,-0.13500000000004775,-0.04166666666662877
2023-11-15T20:52:00Z,b,TSLA,243.07,243.3,243.07,243.22,1162,24,243.211674,out,no_action,27675.69,,-0.16199999999997772,-0.06541666666669244
2023-11-15T20:53:00Z,b,TSLA,243.28,243.28,242.995,242.995,2583,34,243.155151,out,no_action,27675.69,,-0.18299999999999272,-0.060000000000002274
2023-11-15T20:54:00Z,b,TSLA,242.805,243.12,242.805,242.96,3238,37,242.980497,out,no_action,27675.69,,-0.22700000000000387,-0.09791666666666288
2023-11-15T20:55:00Z,b,TSLA,242.83,242.83,242.49,242.59,4004,48,242.56527,out,no_action,27675.69,,-0.12400000000002365,-0.10833333333334849
2023-11-15T20:56:00Z,b,TSLA,242.64,242.89,242.64,242.845,2682,51,242.823507,out,no_action,27675.69,,-0.1489999999999725,-0.11999999999997613
2023-11-15T20:57:00Z,b,TSLA,242.85,242.97,242.75,242.88,4010,89,242.860975,out,no_action,27675.69,,-0.04400000000001114,-0.0800000000000125
