t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,open_norm,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought
2023-11-15T00:00:00Z,b,UPST,25.6499,out,no_action,0.0,no_stop_loss_out_signal,,,,1.9525939431370674,,0.0,-0.0,,,,
2023-11-15T00:05:00Z,b,UPST,25.65,,,,,,,,1.9528055785517802,9.999999999976694e-05,9.999999999976694e-05,-0.0,,,,
2023-11-15T00:09:00Z,b,UPST,25.57,,,,,,,,1.7834972467811312,-0.0799999999999983,0.0,0.0799999999999983,,,,
2023-11-15T00:10:00Z,b,UPST,25.6784,,,,,,,,2.0129100363303642,0.10839999999999961,0.10839999999999961,-0.0,,,,
2023-11-15T00:11:00Z,b,UPST,25.58,,,,,,,,1.8046607882524586,-0.0984000000000016,0.0,0.0984000000000016,,,,
2023-11-15T00:13:00Z,b,UPST,25.58,,,,,,,,1.8046607882524586,0.0,0.0,-0.0,,,,
2023-11-15T00:15:00Z,b,UPST,25.59,,,,,,,,1.8258243297237935,0.010000000000001563,0.010000000000001563,-0.0,,,,
2023-11-15T00:21:00Z,b,UPST,25.52,,,,,,,,1.6776795394244721,-0.07000000000000028,0.0,0.07000000000000028,,,,
2023-11-15T00:23:00Z,b,UPST,25.6699,,,,,,,,1.9949210260797294,0.1498999999999988,0.1498999999999988,-0.0,,,,
2023-11-15T00:27:00Z,b,UPST,25.62,,,,,,-0.01256267821738235,,1.8893149541377905,-0.04989999999999739,0.0,0.04989999999999739,,,,
2023-11-15T00:28:00Z,b,UPST,25.62,,,,,,-0.003259185386584651,,1.8893149541377905,0.0,0.0,-0.0,,,,
2023-11-15T00:30:00Z,b,UPST,25.5201,out,,,,40.26402640264029,-0.00409726162884958,,1.677891174839185,-0.09990000000000165,0.0,0.09990000000000165,0.022366666666666646,0.033183333333333266,,
2023-11-15T00:31:00Z,b,UPST,25.56,out,no_action,26000.0,,43.63765038924273,0.0035216133008297845,,1.7623337053097965,0.03989999999999938,0.03989999999999938,-0.0,0.025691666666666595,0.033183333333333266,,
2023-11-15T00:33:00Z,b,UPST,25.67,out,no_action,26000.0,,51.2248897599218,0.004249639127443983,,1.9951326614944498,0.11000000000000298,0.11000000000000298,-0.0,0.03485000000000019,0.033183333333333266,,
2023-11-15T00:35:00Z,b,UPST,25.66,out,no_action,26000.0,,56.02893890675236,0.004249639127443761,,1.9739691200231149,-0.010000000000001563,0.0,0.010000000000001563,0.03485000000000019,0.027350000000000207,,
2023-11-15T00:38:00Z,b,UPST,25.67,out,no_action,26000.0,,49.351851851852,0.005096180786296811,,1.9951326614944498,0.010000000000001563,0.010000000000001563,-0.0,0.026650000000000357,0.027350000000000207,,
2023-11-15T00:41:00Z,b,UPST,25.67,out,no_action,26000.0,,58.18777292576443,0.023703166447891767,,1.9951326614944498,0.0,0.0,-0.0,0.026650000000000357,0.019150000000000073,,
2023-11-15T00:43:00Z,b,UPST,25.68,out,no_action,26000.0,,58.93495353824168,0.030475499718718036,,2.016296202965777,0.00999999999999801,0.00999999999999801,-0.0,0.027483333333333526,0.019150000000000073,,
2023-11-15T00:44:00Z,b,UPST,25.7,out,no_action,26000.0,,59.65589887640443,0.03300665927868875,,2.0586232859084395,0.019999999999999574,0.019999999999999574,-0.0,0.028316666666666695,0.019150000000000073,,
2023-11-15T00:45:00Z,b,UPST,25.72,out,no_action,26000.0,,69.24557351809075,0.03469974259639521,,2.1009503688511018,0.019999999999999574,0.019999999999999574,-0.0,0.029983333333333324,0.013316666666666718,,
2023-11-15T00:50:00Z,b,UPST,25.73,out,no_action,26000.0,,57.91414274427199,0.035546284255248396,,2.1221139103224362,0.010000000000001563,0.010000000000001563,-0.0,0.01832500000000022,0.013316666666666718,,
2023-11-15T00:51:00Z,b,UPST,25.79,out,no_action,26000.0,,71.80605438686456,0.033015124695276746,,2.249095159150423,0.05999999999999872,0.05999999999999872,-0.0,0.023325000000000113,0.009158333333333601,,
2023-11-15T00:53:00Z,b,UPST,25.78,out,no_action,26000.0,,70.01000500250115,0.0313220413775702,,2.2279316176790958,-0.00999999999999801,0.0,0.00999999999999801,0.023325000000000113,0.009991666666666768,,
2023-11-15T00:55:00Z,b,UPST,25.78,out,buy_next_long_position,26000.0,,93.33111037012354,0.035554749671836826,0.017073393143920885,2.2279316176790958,0.0,0.0,-0.0,0.023325000000000113,0.0016666666666666312,,
2023-11-15T00:56:00Z,b,UPST,25.79,out,buy_next_long_position,26000.0,,92.59259259259274,0.036401291330690276,0.0217749326693924,2.249095159150423,0.00999999999999801,0.00999999999999801,-0.0,0.020833333333333332,0.0016666666666666312,,
2023-11-15T00:57:00Z,b,UPST,25.68,out,buy_next_long_position,26000.0,,51.851851851851514,0.02708933308330428,0.021627963631396945,2.016296202965777,-0.10999999999999943,0.0,0.10999999999999943,0.011666666666666417,0.01083333333333325,,
2023-11-15T00:58:00Z,b,UPST,25.78,out,buy_next_long_position,26000.0,,66.666666666667,0.016084291518212356,0.02206887074538305,2.2279316176790958,0.10000000000000142,0.10000000000000142,-0.0,0.01999999999999987,0.009999999999999787,,
2023-11-15T00:59:00Z,b,UPST,25.79,out,buy_next_long_position,26000.0,,66.66666666666666,0.008465416588532726,0.023955953193243357,2.249095159150423,0.00999999999999801,0.00999999999999801,-0.0,0.019999999999999574,0.009999999999999787,,
2023-11-15T09:00:00Z,b,UPST,25.9,out,buy_next_long_position,26000.0,,74.46808510638307,0.011851583223945462,0.026013519725178274,2.4818941153350687,0.10999999999999943,0.10999999999999943,-0.0,0.029166666666666192,0.009999999999999787,,
2023-11-15T09:01:00Z,b,UPST,26.18,out,buy_next_long_position,26000.0,,83.78378378378402,0.03894091630724983,0.031892281244992604,3.0744732765323546,0.28000000000000114,0.28000000000000114,-0.0,0.05166666666666645,0.009999999999999787,,
2023-11-15T09:04:00Z,b,UPST,26.15,out,buy_next_long_position,26000.0,,80.0000000000001,0.08296108256761955,0.036889228536834774,3.010982652118358,-0.030000000000001137,0.0,0.030000000000001137,0.04999999999999982,0.012499999999999881,,
2023-11-15T09:05:00Z,b,UPST,26.08,out,buy_next_long_position,26000.0,,72.50000000000004,0.10920387399207003,0.03924073314476053,2.862837861819036,-0.07000000000000028,0.0,0.07000000000000028,0.048333333333333194,0.01833333333333324,,
2023-11-15T09:08:00Z,b,UPST,26.05,out,buy_next_long_position,26000.0,,69.51219512195141,0.13036741546340194,0.04306045844225983,2.7993472374050468,-0.029999999999997584,0.0,0.029999999999997584,0.04749999999999973,0.020833333333333037,,
2023-11-15T09:09:00Z,b,UPST,26.11,out,buy_next_long_position,26000.0,,69.51219512195141,0.13798629039308158,0.04526499401219023,2.926328486233033,0.05999999999999872,0.05999999999999872,-0.0,0.04749999999999973,0.020833333333333037,,
2023-11-15T09:11:00Z,b,UPST,26.13,out,buy_next_long_position,26000.0,,71.0843373493976,0.10073845740353793,0.048057405734102034,2.9686555691756955,0.019999999999999574,0.019999999999999574,-0.0,0.04916666666666636,0.01999999999999987,,
2023-11-15T09:12:00Z,b,UPST,26.11,out,buy_next_long_position,26000.0,,69.41176470588238,0.05756483280202165,0.0490876586904494,2.926328486233033,-0.019999999999999574,0.0,0.019999999999999574,0.04916666666666636,0.0216666666666665,,
